站次,站名_链接,站名,到达时间,开车时间,停留,天数,运行时间,里程,二等_一等座,硬卧上_中_下,软卧上_下
6,http://shike.gaotie.cn/zhan.asp?zhan=%B5%A4%D1%F4,丹阳站,17:34,17:36,2分钟,1,1小时27分,210,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B5%A4%D1%F4,丹阳站,17:34,17:36,2分钟,1,1小时27分,210,78/124,0/0/0,0 / 0
7,http://shike.gaotie.cn/zhan.asp?zhan=%D5%F2%BD%AD,镇江站,17:48,17:50,2分钟,1,1小时41分,237,88/140,0/0/0,0 / 0
7,http://shike.gaotie.cn/zhan.asp?zhan=%D5%F2%BD%AD,镇江站,17:48,17:50,2分钟,1,1小时41分,237,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,18:19,18:22,3分钟,1,2小时12分,311,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,18:19,18:22,3分钟,1,2小时12分,311,115/184,0/0/0,0 / 0
9,http://shike.gaotie.cn/zhan.asp?zhan=%C8%AB%BD%B7,全椒站,18:42,18:44,2分钟,1,2小时35分,367,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C8%AB%BD%B7,全椒站,18:42,18:44,2分钟,1,2小时35分,367,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,19:20,19:29,9分钟,1,3小时13分,468,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,19:20,19:29,9分钟,1,3小时13分,465,182/291,0/0/0,0 / 0
11,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,19:53,19:58,5分钟,1,3小时46分,557,214/342,0/0/0,0 / 0
11,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,19:53,19:58,5分钟,1,3小时46分,555,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,20:15,20:17,2分钟,1,4小时8分,607,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,20:15,终点站,0分钟,1,4小时8分,609,197.5/236,0/0/0,0 / 0
13,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,20:49,20:52,3分钟,1,4小时42分,718,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,21:33,终点站,0分钟,1,5小时26分,827,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,始发站,07:59,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BA%EC%B0%B2%CE%F7,红安西站,08:28,08:30,2分钟,1,29分,72,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,08:43,08:45,2分钟,1,44分,111,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,09:17,09:19,2分钟,1,1小时18分,220,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,09:36,09:39,3分钟,1,1小时37分,272,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,10:03,10:15,12分钟,1,2小时4分,359,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C8%AB%BD%B7,全椒站,10:50,10:52,2分钟,1,2小时51分,460,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,11:13,11:16,3分钟,1,3小时14分,516,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%D5%F2%BD%AD,镇江站,11:45,11:47,2分钟,1,3小时46分,590,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A3%D6%DD,常州站,12:11,12:13,2分钟,1,4小时12分,662,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%CE%DE%CE%FD,无锡站,12:28,12:30,2分钟,1,4小时29分,701,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD,苏州站,12:46,12:48,2分钟,1,4小时47分,743,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C9%BD%C4%CF,昆山南站,13:00,13:02,2分钟,1,5小时1分,777,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%C9%CF%BA%A3%BA%E7%C7%C5,上海虹桥站,13:22,终点站,0分钟,1,5小时23分,827,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E4%B2%FD,武昌站,始发站,15:43,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,16:02,16:05,3分钟,1,19分,20,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,16:43,16:53,10分钟,1,1小时0分,136,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,17:39,17:46,7分钟,1,1小时56分,297,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,18:10,18:25,15分钟,1,2小时27分,384,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,19:17,19:20,3分钟,1,3小时34分,541,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A3%D6%DD,常州站,20:12,20:14,2分钟,1,4小时29分,684,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%BB%DD%C9%BD,惠山站,20:26,20:31,5分钟,1,4小时43分,687,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%CE%DE%CE%FD,无锡站,20:40,20:42,2分钟,1,4小时57分,723,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD,苏州站,20:58,21:00,2分钟,1,5小时15分,765,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C9%BD%C4%CF,昆山南站,21:13,21:18,5分钟,1,5小时30分,799,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%C9%CF%BA%A3%BA%E7%C7%C5,上海虹桥站,21:37,终点站,0分钟,1,5小时54分,849,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%CF%BA%A3%BA%E7%C7%C5,上海虹桥站,始发站,09:15,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD,苏州站,09:43,09:45,2分钟,1,28分,84,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%CE%DE%CE%FD,无锡站,10:00,10:02,2分钟,1,45分,126,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A3%D6%DD,常州站,10:18,10:19,1分钟,1,1小时3分,165,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%B5%A4%D1%F4,丹阳站,10:35,10:40,5分钟,1,1小时20分,210,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%D5%F2%BD%AD,镇江站,10:53,10:55,2分钟,1,1小时38分,237,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,11:25,11:27,2分钟,1,2小时10分,311,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,12:19,12:35,16分钟,1,3小时4分,465,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,12:59,13:01,2分钟,1,3小时44分,557,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,13:18,13:20,2分钟,1,4小时3分,609,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,13:55,13:57,2分钟,1,4小时40分,718,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,14:40,14:59,19分钟,1,5小时25分,827,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E4%B2%FD,武昌站,15:20,终点站,0分钟,1,6小时5分,852,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%CF%BA%A3%BA%E7%C7%C5,上海虹桥站,始发站,09:15,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD,苏州站,09:43,09:45,2分钟,1,28分,84,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%CE%DE%CE%FD,无锡站,10:00,10:02,2分钟,1,45分,126,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A3%D6%DD,常州站,10:18,10:19,1分钟,1,1小时3分,165,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%B5%A4%D1%F4,丹阳站,10:35,10:40,5分钟,1,1小时20分,210,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%D5%F2%BD%AD,镇江站,10:53,10:55,2分钟,1,1小时38分,237,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,11:25,11:27,2分钟,1,2小时10分,311,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,12:19,12:35,16分钟,1,3小时4分,465,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,12:59,13:01,2分钟,1,3小时44分,557,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,13:18,13:20,2分钟,1,4小时3分,609,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,13:55,13:57,2分钟,1,4小时40分,718,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,14:40,14:59,19分钟,1,5小时25分,827,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E4%B2%FD,武昌站,15:20,终点站,0分钟,1,6小时5分,852,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E4%B2%FD,武昌站,始发站,15:43,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,16:02,16:05,3分钟,1,19分,20,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,16:43,16:53,10分钟,1,1小时0分,136,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,17:39,17:46,7分钟,1,1小时56分,297,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,18:10,18:25,15分钟,1,2小时27分,384,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,19:17,19:20,3分钟,1,3小时34分,541,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A3%D6%DD,常州站,20:12,20:14,2分钟,1,4小时29分,684,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%BB%DD%C9%BD,惠山站,20:26,20:31,5分钟,1,4小时43分,687,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%CE%DE%CE%FD,无锡站,20:40,20:42,2分钟,1,4小时57分,723,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD,苏州站,20:58,21:00,2分钟,1,5小时15分,765,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C9%BD%C4%CF,昆山南站,21:13,21:18,5分钟,1,5小时30分,799,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%C9%CF%BA%A3%BA%E7%C7%C5,上海虹桥站,21:37,终点站,0分钟,1,5小时54分,849,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,始发站,07:31,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BA%EC%B0%B2%CE%F7,红安西站,08:01,08:03,2分钟,1,30分,72,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,08:17,08:19,2分钟,1,46分,111,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,08:53,09:00,7分钟,1,1小时22分,220,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,09:18,09:20,2分钟,1,1小时47分,272,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,09:45,09:58,13分钟,1,2小时14分,359,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,10:50,10:55,5分钟,1,3小时19分,516,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A3%D6%DD,常州站,11:50,11:52,2分钟,1,4小时19分,662,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%CE%DE%CE%FD,无锡站,12:07,12:09,2分钟,1,4小时36分,701,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%CE%DE%CE%FD%D0%C2%C7%F8,无锡新区站,12:17,12:18,1分钟,1,4小时46分,714,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD,苏州站,12:30,12:32,2分钟,1,4小时59分,743,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C9%BD%C4%CF,昆山南站,12:44,12:46,2分钟,1,5小时13分,777,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%C9%CF%BA%A3%BA%E7%C7%C5,上海虹桥站,13:06,终点站,0分钟,1,5小时35分,827,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%CF%BA%A3%BA%E7%C7%C5,上海虹桥站,始发站,13:27,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD%D4%B0%C7%F8,苏州园区站,13:52,13:54,2分钟,1,25分,74,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD,苏州站,14:01,14:03,2分钟,1,34分,84,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%CE%DE%CE%FD,无锡站,14:18,14:20,2分钟,1,51分,126,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A3%D6%DD,常州站,14:35,14:37,2分钟,1,1小时8分,165,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%D5%F2%BD%AD,镇江站,15:01,15:03,2分钟,1,1小时34分,237,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,15:32,15:37,5分钟,1,2小时5分,311,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C8%AB%BD%B7,全椒站,15:57,16:04,7分钟,1,2小时30分,367,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,16:40,16:44,4分钟,1,3小时13分,468,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,17:08,17:19,11分钟,1,3小时41分,555,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,17:36,17:38,2分钟,1,4小时9分,607,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,18:09,18:11,2分钟,1,4小时42分,718,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,18:51,18:57,6分钟,1,5小时24分,827,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%C7%B1%BD%AD,潜江站,19:48,19:50,2分钟,1,6小时21分,961,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%BE%A3%D6%DD,荆州站,20:16,20:18,2分钟,1,6小时49分,1031,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%D6%A6%BD%AD%B1%B1,枝江北站,20:36,20:38,2分钟,1,7小时9分,1075,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,20:58,终点站,0分钟,1,7小时31分,1119,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%CF%BA%A3%BA%E7%C7%C5,上海虹桥站,始发站,13:27,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD%D4%B0%C7%F8,苏州园区站,13:52,13:54,2分钟,1,25分,74,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD,苏州站,14:01,14:03,2分钟,1,34分,84,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%CE%DE%CE%FD,无锡站,14:18,14:20,2分钟,1,51分,126,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A3%D6%DD,常州站,14:35,14:37,2分钟,1,1小时8分,165,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%D5%F2%BD%AD,镇江站,15:01,15:03,2分钟,1,1小时34分,237,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,15:32,15:37,5分钟,1,2小时5分,311,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C8%AB%BD%B7,全椒站,15:57,16:04,7分钟,1,2小时30分,367,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,16:40,16:44,4分钟,1,3小时13分,468,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,17:08,17:19,11分钟,1,3小时41分,555,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,17:36,17:38,2分钟,1,4小时9分,607,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,18:09,18:11,2分钟,1,4小时42分,718,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,18:51,18:57,6分钟,1,5小时24分,827,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%C7%B1%BD%AD,潜江站,19:48,19:50,2分钟,1,6小时21分,961,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%BE%A3%D6%DD,荆州站,20:16,20:18,2分钟,1,6小时49分,1031,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%D6%A6%BD%AD%B1%B1,枝江北站,20:36,20:38,2分钟,1,7小时9分,1075,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,20:58,终点站,0分钟,1,7小时31分,1119,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,始发站,07:31,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BA%EC%B0%B2%CE%F7,红安西站,08:01,08:03,2分钟,1,30分,72,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,08:17,08:19,2分钟,1,46分,111,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,08:53,09:00,7分钟,1,1小时22分,220,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,09:18,09:20,2分钟,1,1小时47分,272,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,09:45,09:58,13分钟,1,2小时14分,359,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,10:50,10:55,5分钟,1,3小时19分,516,/,//,"
/
"
